track_id,avi_file,camera,event_id,exit_timestamp,Model class,Model direction,human_agree,human_direction,human_class,annotator,is_rickshaw,green_plate,yellow_plate
9923,Export__509 Chowk 1_Monday April 25 2022165358  4088f85.avi,509 Chowk 1,20_min__509_Chowk_1__t9923,10:06.4,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
1526,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t1526,01:36.4,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
2941,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t2941,03:19.0,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
5192,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t5192,05:49.0,truck,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
9020,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t9020,09:50.8,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
9498,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t9498,10:25.8,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
11249,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t11249,12:17.4,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
11285,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t11285,12:21.2,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
12249,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t12249,13:23.4,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
12514,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t12514,14:34.8,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
13204,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t13204,14:42.2,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
14286,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t14286,15:21.6,car,UP,TRUE,UP,car,Human1,yes,no,yes
14689,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t14689,15:37.0,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
14777,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t14777,16:44.0,car,DOWN,FALSE,DOWN,car,Human1,yes,no,yes
15180,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t15180,16:46.8,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
15353,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t15353,16:55.8,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
15381,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t15381,16:49.8,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
16266,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t16266,17:37.4,car,DOWN,TRUE,DOWN,car,Human1,yes,no,yes
16288,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t16288,17:36.6,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
16516,Export__509 Chowk 1_Monday April 25 2022165539  9682897.avi,509 Chowk 1,25_min__509_Chowk_1__t16516,17:43.6,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
17611,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t17611,18:21.4,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
18079,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t18079,17:11.2,truck,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
19469,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t19469,18:44.6,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
20268,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t20268,19:14.0,car,UP,TRUE,UP,car,Human1,yes,no,yes
27519,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t27519,26:35.6,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
28625,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t28625,27:55.8,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
28881,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t28881,28:06.8,car,LEFT,TRUE,LEFT,car,Human1,yes,no,yes
29263,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t29263,28:36.4,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
30383,Export__509 Chowk 1_Monday April 25 2022170222  357eb0e.avi,509 Chowk 1,30_min__509_Chowk_1__t30383,29:54.2,car,RIGHT,TRUE,RIGHT,car,Human1,yes,no,yes
1006,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t1006,01:33.0,car,DOWN,TRUE,DOWN,car,Human2,yes,no,yes
1309,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t1309,01:48.4,car,UP,TRUE,UP,car,Human2,yes,no,yes
6389,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t6389,07:38.8,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
10676,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t10676,12:49.0,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
12418,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t12418,15:19.8,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
15354,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t15354,18:30.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
23982,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t23982,28:48.6,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
24136,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t24136,29:04.0,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
24770,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t24770,29:43.2,car,DOWN,TRUE,DOWN,car,Human2,yes,no,yes
27505,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t27505,32:35.4,car,DOWN,FALSE,DOWN,car,Human2,yes,no,yes
27682,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t27682,32:27.4,car,DOWN,TRUE,DOWN,car,Human2,yes,no,yes
29007,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t29007,34:13.0,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
29170,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t29170,34:27.0,car,LEFT,FALSE,LEFT,car,Human2,yes,no,yes
29251,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t29251,34:35.0,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
30467,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t30467,36:44.8,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
31301,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t31301,37:25.6,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
31324,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t31324,37:25.0,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
31331,Export__509 Chowk 1_Monday April 25 2022171008  bfde92c.avi,509 Chowk 1,45_min__509_Chowk_1__t31331,37:25.2,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
6874,Export__Axis Bank Chinchwad_1_Monday April 25 2022165400  2a0f3e9.avi,Axis Bank Chinchwad_1,20_min__Axis_Bank_Chinchwad_1__t6874,08:54.8,motorbike,LEFT,FALSE,LEFT,car,Human2,yes,no,yes
7339,Export__Axis Bank Chinchwad_1_Monday April 25 2022165400  2a0f3e9.avi,Axis Bank Chinchwad_1,20_min__Axis_Bank_Chinchwad_1__t7339,10:04.0,car,DOWN,TRUE,DOWN,car,Human2,yes,no,yes
14338,Export__Axis Bank Chinchwad_1_Monday April 25 2022165400  2a0f3e9.avi,Axis Bank Chinchwad_1,20_min__Axis_Bank_Chinchwad_1__t14338,18:52.2,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
42,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t42,00:10.6,car,UP,TRUE,UP,car,Human2,yes,no,yes
332,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t332,00:37.0,car,UP,TRUE,UP,car,Human2,yes,no,yes
5194,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t5194,08:21.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
6636,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t6636,10:24.2,motorbike,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
12708,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t12708,21:22.6,car,UP,TRUE,UP,car,Human2,yes,no,yes
12737,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t12737,21:27.0,car,UP,TRUE,UP,car,Human2,yes,no,yes
14157,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t14157,23:59.6,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
14264,Export__Axis Bank Chinchwad_1_Monday April 25 2022165541  97a3ed9.avi,Axis Bank Chinchwad_1,25_min__Axis_Bank_Chinchwad_1__t14264,23:54.2,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
616,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t616,00:52.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
1053,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t1053,01:38.8,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
1385,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t1385,02:18.2,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
2284,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t2284,03:21.0,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
4312,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t4312,05:58.8,car,UP,TRUE,UP,car,Human2,yes,no,yes
4893,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t4893,07:06.8,car,UP,TRUE,UP,car,Human2,yes,no,yes
7241,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t7241,11:13.2,car,UP,TRUE,UP,car,Human2,yes,no,yes
8329,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t8329,12:38.4,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
9994,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t9994,15:05.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
12886,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t12886,19:24.2,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
13483,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t13483,20:28.0,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
13497,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t13497,20:20.6,motorbike,DOWN,TRUE,DOWN,car,Human2,yes,no,yes
15077,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t15077,22:35.2,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
18033,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t18033,26:40.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
19830,Export__Axis Bank Chinchwad_1_Monday April 25 2022170225  3148f12.avi,Axis Bank Chinchwad_1,30_min__Axis_Bank_Chinchwad_1__t19830,29:35.4,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
782,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t782,01:41.0,car,UP,TRUE,UP,car,Human2,yes,no,yes
2984,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t2984,10:16.6,car,UP,TRUE,UP,car,Human2,yes,no,yes
3027,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t3027,04:43.2,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
4401,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t4401,06:57.8,truck,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
5315,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t5315,08:30.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
5412,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t5412,08:33.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
5455,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t5455,08:56.6,car,LEFT,TRUE,LEFT,car,Human2,yes,no,yes
7413,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t7413,11:52.0,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
25258,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t25258,39:08.8,car,DOWN,TRUE,DOWN,car,Human2,yes,no,yes
26622,Export__Axis Bank Chinchwad_1_Monday April 25 2022171010  12422fc.avi,Axis Bank Chinchwad_1,45_min__Axis_Bank_Chinchwad_1__t26622,40:51.4,car,RIGHT,TRUE,RIGHT,car,Human2,yes,no,yes
24,Export__Axis Bank Chinchwad_3_Monday April 25 2022164555  fd4556c.avi,Axis Bank Chinchwad_3,10_min__Axis_Bank_Chinchwad_3__t24,00:05.4,motorbike,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
2980,Export__Axis Bank Chinchwad_3_Monday April 25 2022164555  fd4556c.avi,Axis Bank Chinchwad_3,10_min__Axis_Bank_Chinchwad_3__t2980,04:40.0,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
4261,Export__Axis Bank Chinchwad_3_Monday April 25 2022164555  fd4556c.avi,Axis Bank Chinchwad_3,10_min__Axis_Bank_Chinchwad_3__t4261,06:29.2,car,UP,TRUE,UP,car,Human3,yes,no,yes
4578,Export__Axis Bank Chinchwad_3_Monday April 25 2022164555  fd4556c.avi,Axis Bank Chinchwad_3,10_min__Axis_Bank_Chinchwad_3__t4578,07:07.0,car,RIGHT,TRUE,RIGHT,car,Human3,yes,no,yes
4796,Export__Axis Bank Chinchwad_3_Monday April 25 2022164555  fd4556c.avi,Axis Bank Chinchwad_3,10_min__Axis_Bank_Chinchwad_3__t4796,07:20.4,car,RIGHT,TRUE,RIGHT,car,Human3,yes,no,yes
5407,Export__Axis Bank Chinchwad_3_Monday April 25 2022164555  fd4556c.avi,Axis Bank Chinchwad_3,10_min__Axis_Bank_Chinchwad_3__t5407,08:10.2,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
404,Export__Axis Bank Chinchwad_3_Monday April 25 2022164726  c5170e5.avi,Axis Bank Chinchwad_3,5_min__Axis_Bank_Chinchwad_3__t404,00:56.0,car,RIGHT,TRUE,RIGHT,car,Human3,yes,no,yes
692,Export__Axis Bank Chinchwad_3_Monday April 25 2022164726  c5170e5.avi,Axis Bank Chinchwad_3,5_min__Axis_Bank_Chinchwad_3__t692,01:22.0,car,LEFT,FALSE,LEFT,car,Human3,yes,no,yes
707,Export__Axis Bank Chinchwad_3_Monday April 25 2022164726  c5170e5.avi,Axis Bank Chinchwad_3,5_min__Axis_Bank_Chinchwad_3__t707,01:18.8,truck,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
1495,Export__Axis Bank Chinchwad_3_Monday April 25 2022164726  c5170e5.avi,Axis Bank Chinchwad_3,5_min__Axis_Bank_Chinchwad_3__t1495,02:40.2,motorbike,LEFT,FALSE,LEFT,car,Human3,yes,no,yes
214,Export__Axis Bank Chinchwad_3_Monday April 25 2022165048  cebdabb.avi,Axis Bank Chinchwad_3,15_min__Axis_Bank_Chinchwad_3__t214,00:21.8,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
1603,Export__Axis Bank Chinchwad_3_Monday April 25 2022165048  cebdabb.avi,Axis Bank Chinchwad_3,15_min__Axis_Bank_Chinchwad_3__t1603,02:19.0,motorbike,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
6525,Export__Axis Bank Chinchwad_3_Monday April 25 2022165048  cebdabb.avi,Axis Bank Chinchwad_3,15_min__Axis_Bank_Chinchwad_3__t6525,09:08.8,car,LEFT,FALSE,LEFT,car,Human3,yes,no,yes
6900,Export__Axis Bank Chinchwad_3_Monday April 25 2022165048  cebdabb.avi,Axis Bank Chinchwad_3,15_min__Axis_Bank_Chinchwad_3__t6900,09:33.0,motorbike,DOWN,FALSE,DOWN,car,Human3,yes,no,yes
9030,Export__Axis Bank Chinchwad_3_Monday April 25 2022165048  cebdabb.avi,Axis Bank Chinchwad_3,15_min__Axis_Bank_Chinchwad_3__t9030,12:23.0,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
13266,Export__Axis Bank Chinchwad_3_Monday April 25 2022165400  6fdeac2.avi,Axis Bank Chinchwad_3,20_min__Axis_Bank_Chinchwad_3__t13266,17:28.2,motorbike,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
13823,Export__Axis Bank Chinchwad_3_Monday April 25 2022165400  6fdeac2.avi,Axis Bank Chinchwad_3,20_min__Axis_Bank_Chinchwad_3__t13823,17:58.4,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
14928,Export__Axis Bank Chinchwad_3_Monday April 25 2022165400  6fdeac2.avi,Axis Bank Chinchwad_3,20_min__Axis_Bank_Chinchwad_3__t14928,19:33.4,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
8,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t8,00:05.0,motorbike,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
206,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t206,00:15.8,car,UP,TRUE,UP,car,Human3,yes,no,yes
1897,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t1897,02:21.0,car,UP,TRUE,UP,car,Human3,yes,no,yes
4792,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t4792,06:19.0,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
5908,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t5908,07:47.4,car,DOWN,TRUE,DOWN,car,Human3,yes,no,yes
7130,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t7130,09:44.6,car,DOWN,TRUE,DOWN,car,Human3,yes,no,yes
7161,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t7161,09:40.0,motorbike,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
7428,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t7428,10:08.6,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
9728,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t9728,12:48.8,car,LEFT,TRUE,LEFT,car,Human3,yes,no,yes
10328,Export__Axis Bank Chinchwad_3_Monday April 25 2022165541  2c716a5.avi,Axis Bank Chinchwad_3,25_min__Axis_Bank_Chinchwad_3__t10328,13:33.6,car,DOWN,TRUE,DOWN,car,Human3,yes,no,yes
